system   D            wsystem.c:583  maybe_parent_dir                 [   0.01380] Also searching E:\Carpeta de clase MASTER\Apuntes\projects\campos\
display  D   display_settings.c:377  _al_score_display_settings       [   0.09234] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09235] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09236] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09237] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09238] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09507] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09509] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09511] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09512] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09513] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09514] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09515] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09516] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09516] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09517] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09518] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09519] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09520] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09521] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09522] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09523] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09524] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09525] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09525] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09526] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09527] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09528] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09529] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09530] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09531] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09532] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09533] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09534] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09534] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09535] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09536] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09537] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09538] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09539] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09540] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09541] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09542] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09543] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09543] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09544] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09545] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09546] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09547] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09548] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09549] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09550] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09551] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09552] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09553] Single Buffer requirement not met.
